Time,t,structuralLive,structuralRotation,sessiond,relayd
2025-07-01 10:36:29,473,0.4442857,0,0.0057143,0.5857143
2025-07-01 10:36:30,474,0.4442857,0,0.0057143,0.5864286
2025-07-01 10:36:31,475,0.444254,0,0.0049996,0.5863867
2025-07-01 10:36:32,476,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:36:33,477,0.4443175,0,0.004286,0.5857561
2025-07-01 10:36:34,478,0.4442857,0,0.0042857,0.585
2025-07-01 10:36:35,479,0.4436031,0,0.004286,0.5857561
2025-07-01 10:36:36,480,0.444254,0,0.0042854,0.5856725
2025-07-01 10:36:37,481,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:36:38,482,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:36:39,483,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:36:40,484,0.4435714,0,0.0042857,0.5864286
2025-07-01 10:36:41,485,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:36:42,486,0.4435397,0,0.0035712,0.5856725
2025-07-01 10:36:43,487,0.4435397,0,0.0049996,0.5856725
2025-07-01 10:36:44,488,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:36:45,489,0.4436031,0,0.006429,0.5857561
2025-07-01 10:36:46,490,0.4436031,0,0.0057147,0.5857561
2025-07-01 10:36:47,491,0.4435714,0,0.0064286,0.5857143
2025-07-01 10:36:48,492,0.4435714,0,0.0057143,0.5864286
2025-07-01 10:36:49,493,0.4435714,0,0.0057143,0.5864286
2025-07-01 10:36:50,494,0.4436031,0,0.0057147,0.5857561
2025-07-01 10:36:51,495,0.4435714,0,0.0064286,0.5857143
2025-07-01 10:36:52,496,0.4435714,0,0.0064286,0.5864286
2025-07-01 10:36:53,497,0.4435397,0,0.0057139,0.5856725
2025-07-01 10:36:54,498,0.4435714,0,0.0057143,0.585
2025-07-01 10:36:55,499,0.4428571,0,0.0057143,0.585
2025-07-01 10:36:56,500,0.4436031,0,0.0057147,0.5857561
2025-07-01 10:36:57,501,0.4436031,0,0.004286,0.5857561
2025-07-01 10:36:58,502,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:36:59,503,0.4435714,0,0.005,0.5864286
2025-07-01 10:37:00,504,0.4442857,0,0.0057143,0.5857143
2025-07-01 10:37:01,505,0.4435397,0,0.0049996,0.5863867
